comparison,pair_key,input,seed,first_client_latency_seconds,second_client_latency_seconds,first_inference_latency_ms,second_inference_latency_ms,client_relative_percent,server_relative_percent,second_faster
baseline_sdaa_to_round5_final,01:004,性能优化必须同时保证结果正确，不能用缩短音频或降低质量换取速度。,20260730,5.419656578917056,3.707619907334447,5414.006,3696.685,-31.589394026230067,-31.71996854085497,True
baseline_sdaa_to_round5_final,01:005,你好，这是用于太初 SDAA 卡性能测试的第一条固定语音。,20260731,4.391489372123033,2.4575226032175124,4387.326,2447.995,-44.038971861852836,-44.20302936230406,True
baseline_sdaa_to_round5_final,01:006,今天的天气很好，我们正在验证语音合成服务的延迟和音频质量。,20260732,4.177780728787184,2.336945353075862,4169.523,2327.503,-44.06251776276729,-44.17819496378842,True
baseline_sdaa_to_round5_final,01:007,请保持自然、清晰、稳定的语速，完整读出这段性能测试文本。,20260733,4.373631768859923,2.45826722914353,4365.944,2448.868,-43.79345680982356,-43.90977071625289,True
baseline_sdaa_to_round5_final,01:008,CosyVoice API 正在国产加速卡上运行，本次测试会记录实时率和吞吐量。,20260734,4.793794316705316,2.5865305941551924,4787.465,2579.303,-46.0441891480053,-46.12382544833227,True
baseline_sdaa_to_round5_final,01:009,性能优化必须同时保证结果正确，不能用缩短音频或降低质量换取速度。,20260735,4.7576087871566415,2.7479883078485727,4751.241,2736.884,-42.24013720365409,-42.39643916189475,True
baseline_sdaa_to_round5_final,01:010,你好，这是用于太初 SDAA 卡性能测试的第一条固定语音。,20260736,5.224127363879234,3.109917040914297,5217.686,3102.55,-40.4701144459657,-40.53781695563895,True
baseline_sdaa_to_round5_final,01:011,今天的天气很好，我们正在验证语音合成服务的延迟和音频质量。,20260737,4.001360561698675,2.2521554180420935,3995.815,2244.875,-43.71525926456379,-43.81934599074282,True
baseline_sdaa_to_round5_final,01:012,请保持自然、清晰、稳定的语速，完整读出这段性能测试文本。,20260738,4.475097730290145,2.4647743958048522,4468.538,2455.846,-44.92244539997906,-45.041398327596184,True
baseline_sdaa_to_round5_final,01:013,CosyVoice API 正在国产加速卡上运行，本次测试会记录实时率和吞吐量。,20260739,4.490517823956907,2.5273581831716,4484.301,2517.87,-43.71788995718606,-43.85144975772145,True
baseline_sdaa_to_round5_final,01:014,性能优化必须同时保证结果正确，不能用缩短音频或降低质量换取速度。,20260740,5.334282686933875,2.965270470827818,5327.228,2953.753,-44.41107371210122,-44.553659051198856,True
baseline_sdaa_to_round5_final,01:015,你好，这是用于太初 SDAA 卡性能测试的第一条固定语音。,20260741,4.52484479919076,2.48772015189752,4517.565,2482.399,-45.020873371337885,-45.05006568804212,True
baseline_sdaa_to_round5_final,01:016,今天的天气很好，我们正在验证语音合成服务的延迟和音频质量。,20260742,3.7904555900022388,2.2851748783141375,3782.893,2277.203,-39.712395408574416,-39.8026061006748,True
baseline_sdaa_to_round5_final,01:017,请保持自然、清晰、稳定的语速，完整读出这段性能测试文本。,20260743,4.429333323147148,2.441439177375287,4423.475,2431.727,-44.88021110046906,-45.02677193835164,True
baseline_sdaa_to_round5_final,01:018,CosyVoice API 正在国产加速卡上运行，本次测试会记录实时率和吞吐量。,20260744,4.701839254237711,2.8722710530273616,4695.619,2863.568,-38.911755640335464,-39.01617656798815,True
baseline_sdaa_to_round5_final,01:019,性能优化必须同时保证结果正确，不能用缩短音频或降低质量换取速度。,20260745,4.812719542067498,2.7617905363440514,4806.335,2753.472,-42.61476256400321,-42.711608741379855,True
baseline_sdaa_to_round5_final,01:020,你好，这是用于太初 SDAA 卡性能测试的第一条固定语音。,20260746,4.858792641200125,2.7204876709729433,4852.459,2707.882,-44.00897770560176,-44.195674811471875,True
baseline_sdaa_to_round5_final,01:021,今天的天气很好，我们正在验证语音合成服务的延迟和音频质量。,20260747,3.798658650368452,2.3089822600595653,3792.768,2300.256,-39.215852947576515,-39.35152374202694,True
baseline_sdaa_to_round5_final,01:022,请保持自然、清晰、稳定的语速，完整读出这段性能测试文本。,20260748,4.203075451776385,2.364070300012827,4197.588,2357.627,-43.753798209506854,-43.83376834505911,True
baseline_sdaa_to_round5_final,01:023,CosyVoice API 正在国产加速卡上运行，本次测试会记录实时率和吞吐量。,20260749,5.170426178257912,2.6784251159988344,5164.331,2672.162,-48.197208051014385,-48.25734446533346,True
baseline_sdaa_to_round5_final,01:024,性能优化必须同时保证结果正确，不能用缩短音频或降低质量换取速度。,20260750,4.772632396779954,2.8024383429437876,4765.369,2793.42,-41.281076983122276,-41.38082486371989,True
baseline_sdaa_to_round5_final,02:000,你好，这是用于太初 SDAA 卡性能测试的第一条固定语音。,20260726,4.144563407171518,2.7266326239332557,4140.088,2719.273,-34.21182508113533,-34.318473423753304,True
baseline_sdaa_to_round5_final,02:001,今天的天气很好，我们正在验证语音合成服务的延迟和音频质量。,20260727,4.0823268089443445,2.315102909691632,4077.458,2309.179,-43.289623343744545,-43.36719102931287,True
baseline_sdaa_to_round5_final,02:002,请保持自然、清晰、稳定的语速，完整读出这段性能测试文本。,20260728,4.33095463598147,2.415275908075273,4326.227,2408.354,-44.23225106055795,-44.331307626714924,True
baseline_sdaa_to_round5_final,02:003,CosyVoice API 正在国产加速卡上运行，本次测试会记录实时率和吞吐量。,20260729,4.220566914882511,2.5194637728855014,4212.761,2511.575,-40.30508640909354,-40.38173539870884,True
baseline_sdaa_to_round5_final,02:004,性能优化必须同时保证结果正确，不能用缩短音频或降低质量换取速度。,20260730,5.401889226865023,3.7062390237115324,5396.824,3695.73,-31.38994770052992,-31.52027933466053,True
baseline_sdaa_to_round5_final,02:005,你好，这是用于太初 SDAA 卡性能测试的第一条固定语音。,20260731,4.44680726993829,2.4680039598606527,4442.409,2458.224,-44.49941699643524,-44.66461777832702,True
baseline_sdaa_to_round5_final,02:006,今天的天气很好，我们正在验证语音合成服务的延迟和音频质量。,20260732,4.16164098540321,2.327445773873478,4158.032,2319.515,-44.07384534041016,-44.21603777941103,True
baseline_sdaa_to_round5_final,02:007,请保持自然、清晰、稳定的语速，完整读出这段性能测试文本。,20260733,4.359165567904711,2.4241684447042644,4354.117,2417.25,-44.38916331710997,-44.48357726721629,True
baseline_sdaa_to_round5_final,02:008,CosyVoice API 正在国产加速卡上运行，本次测试会记录实时率和吞吐量。,20260734,4.795681389048696,2.589215429034084,4790.488,2582.565,-46.00943601160087,-46.08973031557537,True
baseline_sdaa_to_round5_final,02:009,性能优化必须同时保证结果正确，不能用缩短音频或降低质量换取速度。,20260735,4.7485969718545675,2.7307120161131024,4743.127,2725.528,-42.49434027991175,-42.537317680930755,True
baseline_sdaa_to_round5_final,02:010,你好，这是用于太初 SDAA 卡性能测试的第一条固定语音。,20260736,5.232255259063095,3.128814232069999,5227.047,3114.532,-40.201422194561374,-40.41507566318037,True
baseline_sdaa_to_round5_final,02:011,今天的天气很好，我们正在验证语音合成服务的延迟和音频质量。,20260737,3.946300336625427,2.266867882106453,3941.949,2256.395,-42.55713735045051,-42.75940657781214,True
baseline_sdaa_to_round5_final,02:012,请保持自然、清晰、稳定的语速，完整读出这段性能测试文本。,20260738,4.458297224715352,2.4668066380545497,4453.76,2458.159,-44.669309520698285,-44.80710680413853,True
baseline_sdaa_to_round5_final,02:013,CosyVoice API 正在国产加速卡上运行，本次测试会记录实时率和吞吐量。,20260739,4.479526984039694,2.5272186188958585,4473.552,2518.922,-43.58291337678737,-43.693020669034354,True
baseline_sdaa_to_round5_final,02:014,性能优化必须同时保证结果正确，不能用缩短音频或降低质量换取速度。,20260740,5.309602462220937,2.95770946983248,5301.66,2948.382,-44.29508629172759,-44.38756917644662,True
baseline_sdaa_to_round5_final,02:015,你好，这是用于太初 SDAA 卡性能测试的第一条固定语音。,20260741,4.495219189208001,2.4934168653562665,4488.086,2483.858,-44.53180678391849,-44.65663091126151,True
baseline_sdaa_to_round5_final,02:016,今天的天气很好，我们正在验证语音合成服务的延迟和音频质量。,20260742,3.777917511295527,2.2929739779792726,3770.718,2284.959,-39.30587496620688,-39.402548798398605,True
baseline_sdaa_to_round5_final,02:017,请保持自然、清晰、稳定的语速，完整读出这段性能测试文本。,20260743,4.439025598112494,2.441630430985242,4433.44,2434.943,-44.99625251038333,-45.07779512071889,True
baseline_sdaa_to_round5_final,02:018,CosyVoice API 正在国产加速卡上运行，本次测试会记录实时率和吞吐量。,20260744,4.677100039087236,2.8985098507255316,4671.369,2885.238,-38.02762766453049,-38.23570777645696,True
baseline_sdaa_to_round5_final,02:019,性能优化必须同时保证结果正确，不能用缩短音频或降低质量换取速度。,20260745,4.797081085853279,2.7556908982805908,4792.651,2745.583,-42.55484014211898,-42.71264483894195,True
baseline_sdaa_to_round5_final,02:020,你好，这是用于太初 SDAA 卡性能测试的第一条固定语音。,20260746,4.8517896719276905,2.6597882411442697,4846.542,2650.489,-45.17923444757458,-45.31175010966583,True
baseline_sdaa_to_round5_final,02:021,今天的天气很好，我们正在验证语音合成服务的延迟和音频质量。,20260747,3.8198627550154924,2.31493256194517,3814.042,2307.533,-39.39749382603718,-39.49901443140899,True
baseline_sdaa_to_round5_final,02:022,请保持自然、清晰、稳定的语速，完整读出这段性能测试文本。,20260748,4.266144415829331,2.3473689290694892,4261.681,2340.03,-44.97680574619823,-45.09138530077684,True
baseline_sdaa_to_round5_final,02:023,CosyVoice API 正在国产加速卡上运行，本次测试会记录实时率和吞吐量。,20260749,5.123375691007823,2.6947309132665396,5118.4,2687.675,-47.40321468136456,-47.48993826195685,True
baseline_sdaa_to_round5_final,02:024,性能优化必须同时保证结果正确，不能用缩短音频或降低质量换取速度。,20260750,4.775162749923766,2.7993385829031467,4769.236,2793.52,-41.37710629972062,-41.42625779055598,True
baseline_sdaa_to_round5_final,03:000,你好，这是用于太初 SDAA 卡性能测试的第一条固定语音。,20260726,4.113641700241715,2.7258699857629836,4108.003,2716.582,-33.73584321641787,-33.8709830542967,True
baseline_sdaa_to_round5_final,03:001,今天的天气很好，我们正在验证语音合成服务的延迟和音频质量。,20260727,4.095440643839538,2.322021204046905,4090.161,2312.2,-43.302286469717345,-43.46921795987983,True
baseline_sdaa_to_round5_final,03:002,请保持自然、清晰、稳定的语速，完整读出这段性能测试文本。,20260728,4.335969583131373,2.407432878855616,4328.327,2398.34,-44.477634524433086,-44.58967633452833,True
baseline_sdaa_to_round5_final,03:003,CosyVoice API 正在国产加速卡上运行，本次测试会记录实时率和吞吐量。,20260729,4.234452089294791,2.538002331741154,4227.818,2527.741,-40.063028740895845,-40.211688393398205,True
baseline_sdaa_to_round5_final,03:004,性能优化必须同时保证结果正确，不能用缩短音频或降低质量换取速度。,20260730,5.410543770994991,3.701443634927273,5401.444,3690.445,-31.58832473049964,-31.676696083491752,True
baseline_sdaa_to_round5_final,03:005,你好，这是用于太初 SDAA 卡性能测试的第一条固定语音。,20260731,4.394872636999935,2.456943124998361,4387.795,2446.339,-44.09523715627991,-44.24673440760108,True
baseline_sdaa_to_round5_final,03:006,今天的天气很好，我们正在验证语音合成服务的延迟和音频质量。,20260732,4.163255168125033,2.324272582307458,4152.586,2314.523,-44.1717481046395,-44.26309292570942,True
baseline_sdaa_to_round5_final,03:007,请保持自然、清晰、稳定的语速，完整读出这段性能测试文本。,20260733,4.364657766651362,2.427352959755808,4358.068,2420.042,-44.38617895079289,-44.46984305889674,True
baseline_sdaa_to_round5_final,03:008,CosyVoice API 正在国产加速卡上运行，本次测试会记录实时率和吞吐量。,20260734,4.785241484642029,2.607667369302362,4778.649,2598.472,-45.50604441444537,-45.62329227361123,True
baseline_sdaa_to_round5_final,03:009,性能优化必须同时保证结果正确，不能用缩短音频或降低质量换取速度。,20260735,4.753269680310041,2.7463869089260697,4746.786,2736.105,-42.221100555209155,-42.35878760913173,True
baseline_sdaa_to_round5_final,03:010,你好，这是用于太初 SDAA 卡性能测试的第一条固定语音。,20260736,5.200501014012843,3.10699978005141,5194.571,3095.032,-40.25576051846652,-40.41794789213584,True
baseline_sdaa_to_round5_final,03:011,今天的天气很好，我们正在验证语音合成服务的延迟和音频质量。,20260737,3.933124679606408,2.260076796170324,3926.857,2251.414,-42.53737218428345,-42.66625955567008,True
baseline_sdaa_to_round5_final,03:012,请保持自然、清晰、稳定的语速，完整读出这段性能测试文本。,20260738,4.446524137631059,2.4738384019583464,4439.72,2466.556,-44.36466944996019,-44.44343336967196,True
baseline_sdaa_to_round5_final,03:013,CosyVoice API 正在国产加速卡上运行，本次测试会记录实时率和吞吐量。,20260739,4.467118666041642,2.5202130740508437,4460.457,2515.481,-43.583028290492464,-43.60485932271065,True
baseline_sdaa_to_round5_final,03:014,性能优化必须同时保证结果正确，不能用缩短音频或降低质量换取速度。,20260740,5.300937503110617,2.949157722759992,5293.027,2942.094,-44.36535573133222,-44.41566234217207,True
baseline_sdaa_to_round5_final,03:015,你好，这是用于太初 SDAA 卡性能测试的第一条固定语音。,20260741,4.497490996029228,2.4892267789691687,4490.106,2481.356,-44.65299027464709,-44.737251191842674,True
baseline_sdaa_to_round5_final,03:016,今天的天气很好，我们正在验证语音合成服务的延迟和音频质量。,20260742,3.7784497812390327,2.305785751901567,3772.197,2298.904,-38.97535006683478,-39.05662933298552,True
baseline_sdaa_to_round5_final,03:017,请保持自然、清晰、稳定的语速，完整读出这段性能测试文本。,20260743,4.458578491117805,2.436471441294998,4451.594,2429.989,-45.35317823497253,-45.41305878298875,True
baseline_sdaa_to_round5_final,03:018,CosyVoice API 正在国产加速卡上运行，本次测试会记录实时率和吞吐量。,20260744,4.731159674935043,2.882611376233399,4720.53,2876.751,-39.07177998018052,-39.05872857496932,True
baseline_sdaa_to_round5_final,03:019,性能优化必须同时保证结果正确，不能用缩短音频或降低质量换取速度。,20260745,4.828466460108757,2.7430295469239354,4819.779,2736.94,-43.19046078944595,-43.214408793432234,True
baseline_sdaa_to_round5_final,03:020,你好，这是用于太初 SDAA 卡性能测试的第一条固定语音。,20260746,4.8830828638747334,2.653116143774241,4874.223,2646.902,-45.667189811540695,-45.6959191239301,True
baseline_sdaa_to_round5_final,03:021,今天的天气很好，我们正在验证语音合成服务的延迟和音频质量。,20260747,3.824011040851474,2.305884627159685,3817.945,2297.597,-39.69984389359281,-39.821107952052735,True
baseline_sdaa_to_round5_final,03:022,请保持自然、清晰、稳定的语速，完整读出这段性能测试文本。,20260748,4.212368753738701,2.341784229967743,4207.266,2332.685,-44.40695088982214,-44.55579941938541,True
baseline_sdaa_to_round5_final,03:023,CosyVoice API 正在国产加速卡上运行，本次测试会记录实时率和吞吐量。,20260749,5.138972410000861,2.689088671002537,5132.788,2681.288,-47.67263848762157,-47.761567397679386,True
baseline_sdaa_to_round5_final,03:024,性能优化必须同时保证结果正确，不能用缩短音频或降低质量换取速度。,20260750,4.7803432969376445,2.790488723665476,4774.066,2782.107,-41.62576722359872,-41.72458026344839,True
round5_final_to_round8_final,00:000,你好，这是用于太初 SDAA 卡性能测试的第一条固定语音。,20260726,2.7190965111367404,2.469855565112084,2709.622,2459.616,-9.166314803605813,-9.226600610712488,True
round5_final_to_round8_final,00:001,今天的天气很好，我们正在验证语音合成服务的延迟和音频质量。,20260727,2.324223639909178,2.1095932200551033,2314.583,2099.308,-9.234499476240664,-9.3008114204589,True
round5_final_to_round8_final,00:002,请保持自然、清晰、稳定的语速，完整读出这段性能测试文本。,20260728,2.420824347063899,2.16852591605857,2412.46,2158.071,-10.422004855962786,-10.544796597663797,True
round5_final_to_round8_final,00:003,CosyVoice API 正在国产加速卡上运行，本次测试会记录实时率和吞吐量。,20260729,2.5249698203988373,2.256976816803217,2512.242,2248.07,-10.613711159260076,-10.515388246832913,True
round5_final_to_round8_final,00:004,性能优化必须同时保证结果正确，不能用缩短音频或降低质量换取速度。,20260730,3.704415536019951,2.6068849498406053,3695.801,2596.012,-29.62763155233228,-29.75779810655389,True
round5_final_to_round8_final,00:005,你好，这是用于太初 SDAA 卡性能测试的第一条固定语音。,20260731,2.4711328288540244,2.266062851063907,2464.203,2256.626,-8.298622210657026,-8.423697235982575,True
round5_final_to_round8_final,00:006,今天的天气很好，我们正在验证语音合成服务的延迟和音频质量。,20260732,2.347042370121926,2.07891806634143,2332.63,2070.865,-11.42392260121693,-11.221882596039679,True
round5_final_to_round8_final,00:007,请保持自然、清晰、稳定的语速，完整读出这段性能测试文本。,20260733,2.4309156737290323,2.177668171003461,2422.774,2169.719,-10.41778229752779,-10.44484545401263,True
round5_final_to_round8_final,00:008,CosyVoice API 正在国产加速卡上运行，本次测试会记录实时率和吞吐量。,20260734,2.58736931392923,2.3712026830762625,2578.044,2361.504,-8.354687894349821,-8.399391166326097,True
round5_final_to_round8_final,00:009,性能优化必须同时保证结果正确，不能用缩短音频或降低质量换取速度。,20260735,2.7538366140797734,2.4636559397913516,2743.595,2453.154,-10.537323558151224,-10.586147007849188,True
round5_final_to_round8_final,00:010,你好，这是用于太初 SDAA 卡性能测试的第一条固定语音。,20260736,3.11716263089329,2.873380874749273,3096.092,2864.627,-7.820630009097607,-7.476037533768376,True
round5_final_to_round8_final,00:011,今天的天气很好，我们正在验证语音合成服务的延迟和音频质量。,20260737,2.2434470602311194,1.983698520809412,2235.05,1975.92,-11.578099792332441,-11.593924073286955,True
round5_final_to_round8_final,00:012,请保持自然、清晰、稳定的语速，完整读出这段性能测试文本。,20260738,2.4680752749554813,2.199196749832481,2458.752,2192.419,-10.894259500567705,-10.832039994273524,True
round5_final_to_round8_final,00:013,CosyVoice API 正在国产加速卡上运行，本次测试会记录实时率和吞吐量。,20260739,2.5434670578688383,2.2587562589906156,2531.007,2249.95,-11.193807208841179,-11.104552456788952,True
round5_final_to_round8_final,00:014,性能优化必须同时保证结果正确，不能用缩短音频或降低质量换取速度。,20260740,2.9555605920031667,2.6442049900069833,2947.23,2633.995,-10.534570085912476,-10.628115213268053,True
round5_final_to_round8_final,00:015,你好，这是用于太初 SDAA 卡性能测试的第一条固定语音。,20260741,2.4973479118198156,2.2304859491996467,2491.013,2223.197,-10.685814393626348,-10.75128873273643,True
round5_final_to_round8_final,00:016,今天的天气很好，我们正在验证语音合成服务的延迟和音频质量。,20260742,2.291016505099833,2.020599423907697,2285.734,2012.581,-11.803366784577229,-11.950340678311655,True
round5_final_to_round8_final,00:017,请保持自然、清晰、稳定的语速，完整读出这段性能测试文本。,20260743,2.4400566397234797,2.1794994338415563,2429.413,2172.04,-10.678326135554428,-10.5940406180423,True
round5_final_to_round8_final,00:018,CosyVoice API 正在国产加速卡上运行，本次测试会记录实时率和吞吐量。,20260744,2.8891355521045625,2.595556084997952,2879.01,2587.167,-10.161498545568604,-10.13692206696053,True
round5_final_to_round8_final,00:019,性能优化必须同时保证结果正确，不能用缩短音频或降低质量换取速度。,20260745,2.7596195531077683,2.4851931440643966,2751.902,2474.909,-9.944356595615655,-10.065511053809328,True
round5_final_to_round8_final,00:020,你好，这是用于太初 SDAA 卡性能测试的第一条固定语音。,20260746,2.6416978132911026,2.3897373699583113,2634.178,2382.811,-9.537822307498967,-9.542521424140649,True
round5_final_to_round8_final,00:021,今天的天气很好，我们正在验证语音合成服务的延迟和音频质量。,20260747,2.3087364472448826,2.039903126191348,2299.153,2034.041,-11.644175383220789,-11.530855058362787,True
round5_final_to_round8_final,00:022,请保持自然、清晰、稳定的语速，完整读出这段性能测试文本。,20260748,2.3510877937078476,2.0858796876855195,2341.327,2076.072,-11.280229803927245,-11.329259005683534,True
round5_final_to_round8_final,00:023,CosyVoice API 正在国产加速卡上运行，本次测试会记录实时率和吞吐量。,20260749,2.726375862956047,2.4502831040881574,2717.878,2441.399,-10.126731336615435,-10.172605245710088,True
round5_final_to_round8_final,00:024,性能优化必须同时保证结果正确，不能用缩短音频或降低质量换取速度。,20260750,2.803217687178403,2.5064381477423012,2794.374,2497.14,-10.587102842334994,-10.636872515991058,True
round5_final_to_round8_final,01:000,你好，这是用于太初 SDAA 卡性能测试的第一条固定语音。,20260726,2.7219755188561976,2.4483650573529303,2717.077,2441.185,-10.051907506436397,-10.154000052262058,True
round5_final_to_round8_final,01:001,今天的天气很好，我们正在验证语音合成服务的延迟和音频质量。,20260727,2.3355091009289026,2.0478022322058678,2328.227,2039.481,-12.318807432974898,-12.401969395595868,True
round5_final_to_round8_final,01:002,请保持自然、清晰、稳定的语速，完整读出这段性能测试文本。,20260728,2.40248647890985,2.1574377329088748,2394.332,2147.491,-10.199797091560258,-10.309389007038284,True
round5_final_to_round8_final,01:003,CosyVoice API 正在国产加速卡上运行，本次测试会记录实时率和吞吐量。,20260729,2.5037744850851595,2.2438092129305005,2497.926,2235.928,-10.382934793179544,-10.488621360280492,True
round5_final_to_round8_final,01:004,性能优化必须同时保证结果正确，不能用缩短音频或降低质量换取速度。,20260730,3.707619907334447,2.6060054758563638,3696.685,2596.212,-29.712172741840646,-29.76918509421279,True
round5_final_to_round8_final,01:005,你好，这是用于太初 SDAA 卡性能测试的第一条固定语音。,20260731,2.4575226032175124,2.1866291793994606,2447.995,2178.1,-11.023028779608557,-11.025145067698261,True
round5_final_to_round8_final,01:006,今天的天气很好，我们正在验证语音合成服务的延迟和音频质量。,20260732,2.336945353075862,2.0626631369814277,2327.503,2056.122,-11.736783478202728,-11.659748666274561,True
round5_final_to_round8_final,01:007,请保持自然、清晰、稳定的语速，完整读出这段性能测试文本。,20260733,2.45826722914353,2.1563888429664075,2448.868,2148.134,-12.280128970449567,-12.280531249540605,True
round5_final_to_round8_final,01:008,CosyVoice API 正在国产加速卡上运行，本次测试会记录实时率和吞吐量。,20260734,2.5865305941551924,2.38114330265671,2579.303,2371.423,-7.940648062025546,-8.05954166687668,True
